group_number_Maho_2009,group_name,RefLex
A30,Bubi-Benga,absent
A50,Bafia,absent
A90,Kaka,absent
B10,Myene,absent
B40,Shira-Punu,absent
B50,Nzebi,absent
B60,Mbete,absent
B70,Teke,absent
B80,Tiene-Yanzi,absent
С10,,absent
С20,Mboshi,absent
C30,Bangi-Ntomba,absent
C40,Ngombe,absent
C50,Soko-Kele,absent
C60,Mongo-Nkundo,absent
C70,,absent
D10,,absent
D30,,absent
D40,Nyanga,absent
D50,Bembe-Buyi,absent
E40,Temi,absent
E41,Temi,absent
E50,Kikuyu-Kamba,absent
E60,Chaga,absent
E70,Nyika-Taita,absent
F10,Tongwe-Bende,absent
G20,Shambala,absent
G30,Zigula-Zaramo,absent
G40,Swahili,absent
G60,Bena-Kinga,absent
H20,Kimbundu,absent
H40,Mbala-Hunganna,absent
JD50,Shi-Hunde,absent
JD60,Rwanda-Rundi,absent
JE30,Masaba-Luhya,absent
K20,Lozi,absent
L20,Songe,absent
L30,Luba,absent
L40,Kaonde,absent
L50,Lunda,absent
L60,Nkoya,absent
M10,Fipa-Mambwe,absent
M20,Nyiha-Safwa,absent
M30,Nyakyusa-Ngonde,absent
M40,Bemba,absent
M50,,absent
M60,Lenje-Tonga/Bantu-Botatwe,absent
N20,Tumbuka,absent
N30,Chewa-Nyanja,absent
N40,Senga-Sena,absent
P10,Matuumbi,absent
P30,Makhuwa,absent
R10,Umbundu,absent
R20,Wambo,absent
S10,Shona,absent
S20,Venda,absent
S40,Nguni,absent
S50,Tswa-Rhonga,absent
S60,Copi,absent
A20,Duala,Atindogbé et al. 2013
D20,Lega-Holoholo,Botne & Salama Gray 1994; Mathangwane 1996; Coupez 1955
S30,Sotho-Tswana,Creissels & Chebanne 2000
K10,Ciokwe-Luchazi,Daeleman 2004
H10,Kikongo,De Grauwe 2009
G50,Pogolo-Ndamba,Edelsten & Lijongwa 2010
A80,,Ella 2013; Beavon 2003; Beavon & Beavon 1996; Duke 2004; Grimm 2015; Cheucle 2012; Henson 2007; Heath 1985
A10,Lundu-Balong,Ewané Etamé 1995
K40,Subiya-Totela,Gunnink 2018
JE40,Logooli-Kuria,Higgins 2012; Nash 2011
JD40,Konzo-Nande,Kavurtirwaki & Mutaka 2012
A60,,Kongne Welaze 2006
R40,Yeyi,Lukusa 2009
F20,Sukuma-Nyamwezi,Maganga & Schadeberg 1992
P20,Yao,Manus 2003
B20,Kele,Medjo Mvé 2014
B30,Tsogo,Mickala-Manfoumbi 1994; Grollemund 2005; Grollemund 2006; Medjo Mvé 2011
R30,Herero,Möhlig & Kavari 2008
K30,Luyana,Möhlig & Shiyaka-Mberema 2005
H30,Yaka,Mouandza 2002
F30,Nilamba-Rangi,Mous 2004
N10,Manda,Ngonyani 2003
JE20,Haya-Jita,Odden 2002
G10,Gogo-Kagulu,Petzell 2008
JE10,Nyoro-Ganda,Sternefeld & Nickshere 2015
A40,,Teil-Dautrey 1994
L10,Pende,Van Acker 2018
A70,,Van de Velde & Essele Essele 2022
C80,,Vansina 1959; Burssens 1993
