GLOBAL_INDEX,NOUN_CLASS,NC_REGEX,FULL_ENTRY,PAGE-COLUMN,POS
144,,118,"icākirizo, ivyakirizo, 118, (cfr -akiriz-), pot à lait (en bois). Sya. icănsi. Il était strictement interdit de mettre le lait en contact avec m'importe quel métal.",P5-C2,n.
220,,108,"umwămi, ab-, (cfr -ââmir-), roi, seigneur, sultan. Baritwara ku mwămi, ils portèrent leur différend devant le roi. Ntā mwămi yarimwo, ce n'était pas un roi Erega ní Kiranga yabivuze, ati unwami ní mukúrurwanje, Umwămi níwe agabá isí yōse yi Burŭúrdi, niwé agabâá Abarndi bōse n'inkâ zōse zi Abarûndi bamwubahhha nk'imâna, de fait, c'est Kiranga qui Pa dit: le roi mesi supérieur. C'est le roi seul gui est maitre de la terre au Burundi, c'est Iui gui dispose de tous les Rundi et de tout le bétail du Burundi; les Rundi le respectent à égal d'Imâna. || Kwânka umwămi, échapper une occasion favorable, || Umwămi wó hējuru, la foudre. Bakôsa new umwămi w'ijuru amētėrwe nêzá, on brûle des parfums afin que le roi du ciel hume le parfum de ses sujets. || Umwami wó mu kuzimu, ĉlre imaginaire habitant sous terre. Médiateur entre le Créateur et les hemmes de son pays, il en est également le devin et le principe fécondant. I a comme fonction de rendre la justice, de favoriser la paix dans son royaume, de bénir les semences wne fois Fan, de maudire ce qui pourrait nuire à ses administrés. Il est censé naître avec des semences du pays dans son poing serré: haricots, sorgho, ete. C'est à ce signe qu'on reconnaft qu'il est le roi légitime. Il partage le pouvoir avec la rejne-mėre: umugaabékazi. devient vieux, ies devins du royaume lui offrent du miel empoisonné pour gu'il cède la place à son successeur. Sif survient une famine, le peuple le trajte de Rubcbe (vain, inutile) ou encore de Cūmyá (dessécheur, stérilisateur). En période d'abondance, on Fappelle Bibēko (amulettes, fécondateur). Prov. 13, 108, 150, 195, 273, 290, 365, 476, 491, 492, 495, 514, 635, 744, 812, 1006, 1342, 1508, 1613, 1748, 1868, 1965, 2036, 2044, 2075, 2118, 2227, 2237, 2241, 2293, 2335, 2375, 2383, 2519, 2631, 2951, 2954, 2968, 2969, 2970, 3059, 3078, 3109-3118, 3120-3127, 3187, 3339, 3472, 3484, 3485, 3486, 3813,  3869, 3870. TrouwBgorsr 122, 134, 134, 183, 151, 152, 153.",P8-C1,n.
231,1|2,42,"umwămikazi, ab-, 42, mi Í), retine, femme dun prince, personne de haut rang. Prov. 3119,",P8-C2,n.
416,2,2,"abazírabwănwa, 2, (-zir- être opposé à, être interdit, -nwa 14 barbe), le sexe faible, celles qui ne peuvent pas avoir de barbe. On crai)4 gnait les filles ou les femmes moustachues, virilisėes.",P14-C1,n.
430,3|4,3l4,"umwănzuranya, imy-, 3l4, Dicoma anomala Les racines, pilées le soir et bouillies Ie lendemain, sont employées en lavement vermifuge pour les enfants. On administre ce remède également en cas de coliques. Doses : la valeur d'un verre aux enfants, comme vermifuge, et environ trois verrės aux adultes contre les maladies des voies urinaires.",P14-C2,n.
553,7|8,3188,"icāvu, ivy- 78, (cfr -avu 3), amas d'ordures, fumier. Syn. icúkiro, Prov. 433, 3188.",P18-C1,n.
631,,1878,"kubâga, ze, abattre une bête. Ni muzibăge, (ces vaches). Ntăzōrinde kuyíbāga, tu ne devras pas la dépecer. || Kubâga umurwāyi, opérer un malade. || Fig. Kubâpa umuntu, faire souffrir gan. Ikímbāga kikănyicaa nékó nanúnurwa n'ābânje, ce qui me navre le plus, Cest que je suis exploité par mes proches. l| Iyumbăga năwe l, de grâce, je ten prie! Prov. 1600, 1878, 2177, 2179.",P20-C2,v.
675,5,5,"ibâkwe, 5, odeur pénétrante, forte. || Souple, rāpidde, subtil. umubamba, imi, 3l4, (cfr -bamb-), (poét.), guerrier. umubamba, imi, 3J4, (cfr -bamb-), cucurbitacée, plante rampante à fruit très amer, dont on utilise le fruit comme calebasse, baratte, ete.",P21-C2,n.
730,7|8,546,"ikibando, ibi- 7(8, (cfr -band-), pièce de bois servani à fermer une porte. Syn. icūugazo. || Gourdin. Syn. ubuhiri. || Bâton de vieillard. Kugendera ku bibando, marcher avec une béquille, Prov, 546, 752, 1858, 2019.",P23-C1,n.
808,,3943,"umubânyi, aba-, (cfr -bân-), voisin. | Mari, époux. Umubânyi wāwe wāōmenya kw árí ngăho ?, pourrais-tu dire si ton mari esi ici? Prov. 453, 3943, 3952.  imbânyi, 9jl0, (cfr -bân-), grossesse.. Syn. imbûngengwa, || Fæius. Syn. agasâmo.",P25-C1,n.
930,7,7,"ikinyembavu, 7, (cfr -bavu 9), point de côté. Syu. igisonga. Var. ikinyarubavu.",P28-C2,n.
931,11,11,"uruvmàmbava, 11, (vún- rompre, -bavu 9|10 côte, flanc), espèce de haricots (cultivée). Syn. umuháro.",P28-C2,v.
976,7|8,7(8,"igifatàmbeba, ibi-, 7(8, (-fát- prendre, -beba 10 souris, rats), espèce de serpent veri.",P29-C2,n.
1003,1|2,42,"umuziràmbega, aba-, 42, (-zir- défendre, -bega 10, péplum de cérémonie), pyemce, pygmoiïde. Il leur était interdit de porter des vêtements d'apparat comme Ies Futsi.",P30-C1,n.
1096,4,4,"imibërēre, 4, (cfr -bêrēr-), us et coutumes. Syn, imigenzo.",P32-C2,n.
1283,7|8,1b1-,"ikibírăti, 1b1-, 7|8, boîte d'allumettes. Umwampi w'ikibíriti, un bois dallumette.",P37-C1,n.
1462,,1303,"kubónwa, -nywe, (cfr -bón-), ĉfre vu, être irouvé, Prov., 1303, 1341, 1497, 1606. immtábonwá, 9|10, (cfr -bón-), imperceptible. Par ext. objet rare. Pierre précieuse. ináraribônye, bānáraribônye, lafa, (-bónvoir, affirmatif, indic., prétérit, au perfectif, 1 pers. sing, avec infixe de ci. 5: ijambo parole, ou ibanga secret, ou ijoro nuit). personne d'expérience, Kubâ máraribônye, parler en connaissance de cause.",P41-C2,adj.
1687,9a (12),9a (12),"kabuye, 9a (12), variété d'éleusine blanche à épis rords, fort recherchée.",P48-C2,n.
1708,14,14,"uburyâmbwá, 14, (ryáâ manger, -bwáâá 9 chien), discrédit, infamie.",P49-C1,n.
1768,2,2,"Abacăba, 2, mauvatse famille hima.",P51-C2,n.
1936,6,6,"amacibwa, 6, (cfr -cîbw-), pus. Syn. amashíra.",P55-C1,n.
