WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS
a,,,"interjection de négation, de dénégation: non. Peut être prononcée à bouche entrouverte ou à bouche fermée. Dans ce dernier cas, ele est souvent redoublée en a a, le second étant prononcé légèrement plus haut.",
umwaba,,34,surface de terre arable dans le marais.,
akāba,,12|13,"lopin de terre arable. Drain dans les champs de marais. Akāba n'umugazo barekérwa mu bw'îmfûnzo, dans le terrain défriché, parmi les papyrus on dégage un drain appelé akāba.",
kwâba,-âvye,,"crier vers; avoir recours à, recourir à. Hăgira ikibâye gishikíye umuryango băca bágenda kwâba umupfúmu, si un malhetr frappait la famille, ils allaient aussitôt consulter le devin.",
kwabāba,-vye,,"tendre la main pour prendre en se dressant sur la poinie des pieds. li Commencer à ramper (enfant). Syn. kwavūra. | Etre presque égal, approcher de près. Uwăbāba vice-président, lieutenant. Aramwabāba mu kuvûka, ils ont presque le même âge.",
kwâbagira,-ye,,beugler sans cesse. || Pleurnicher. || Chercher qan en l'appelant souvent; appeler à cor et à cri.,
umwâbagirano,,3|4,"(cfr -âbagir-), beuglement, appels du bétail au pâturage.",
urwăbagiza,-je,,philtre amouYEUX,(cfr -âbagiz-)
kwâbagiza,-je,,"tnportuner en le forçant à parler. || Manæœuvrer pour, en vue de. Umugóre yāmaaa amwâbagiza mu kuja bujé, sa femme se rend souvent chez elle pour gwil aille la rechercher.",-je
kwââbagizwa,-jwee,,"se dévouer en faveur de qan. Yabagizwa nûûkó wūmerérwa nêzá, il se dévoue pour que tu sois heureuse.",-jwee
kwabira,-riye,,"prendre. Kwabīira prendre femme, se marier. Syn. kurongora.",-riye
kwâbira,-yee,,"beugler, bêler. || Chanter mal et très fort, hurler. Syn. kumoka.",-yee
kwiyabira,-ye,,"gémir, se plaindre de douleurs. Syn. kuborōga.",-ye
inyawïyabira,bānyáwīïyabira,,"(cfr -iyabir)-, femme qui a habitude de gémir, hypocondre. Syn. nyawririra.",9lal2a
bābīirahamwé,-mwé,,"convoler, se marier",v
kwabīrana,-nye,(cfr -abīr-),"convoler, se marier. Syn. kurongorana.",v
kwâbirira,-ye,(cfr -âbir),"beugler pour, à. || Désirer, aspirer à Yabirira itûnga, il convyoite les richesses. || Préférer.",v
kwâbirirwa,-riwee,(cfr -âbirir-),"étre recherché, jouir de Festime générale, Syn. gushimwà.",v
kwabīrwa,-riwe,(cfr -abīr-),être épouséz. Syn. kurongorwa.,v
icăbona,-bona,,,v
inyăbu,9|10,(cfr -abur-),égratignure.,v
kwabūra,-ye,,"capier discrètement en observant l'exercice d'un métier; écouter les paroles, Fexpression de qqn pour limiter, le ridiculiser.",v
umwabūzo,imyabūzo,34,"objet, poudre, poison gue lon met dans oun sur la chose de celui à qui on veut jeter un sort; médium magique.",(cfr -abūr-)
kwââcanīsha,-shije,,"séparer, || Diviser, dresser l'un conire l'autre.",(sw.).
icāduka,ivy-,7|8,"accident, événemeni imprévu. Syn. impanuka. || Fig. Yaje nk'icāduka, il esi venu à l'improviste.",(cfr -âduk-)
kwâduka,-tse,,"venir de, provenir de, gikôkó cādutsė he 7, d'où déboule cet animal? || Survenir à limproviste; être accidenté.",(cfr -âduk-)
kwâdukkkana,-nye,,survenir en même temps. || Enlever.,(cfr -âàduk-)
umwâduruko,imy-,34,,(cfr -âduk-)
kwaga,-aze,,"gratter légèrement. || Fig. Kwaga bāsí, supplier, s'humilier devant qqn.",(cfr -ag-)
kwîyaga,-ze,,"se gratter. || Fig. Kwîyaga umutwé, se fâcher.",(cfr -ag-)
kwâga,-ze,,"Fig. Kirâga câgutse, je ne sais que faire, je n'en sors pas (à cause de la haine quon me porte). Prov. 414, 493, 1161.",n
umwăga,abăga,"1(2, (cfr -âg-))","Umuntu wumwăga, personne peu sociable. Prov. 1327.",n
umwăga,imy-,34,"(cfr -âg-) étroitesse, insociabilité. Prov. 108, 1327.",n
urwăga,,11,"(cfr -âg-) difficulté; insociabilité, hargne. Syn. urugōro, umuhágātizo. Umuntu wurwăga, un caractère difficile à fréquenter, un homme peu sociable. || Espèce de plante (non identifiće) à gousses poilues, sorte de poil à gratter (cfr -ag-).",n
kwâgaduka,-tse,,(cfr -âg-) étre désert,n
kwâgāga,-ze,,"(cfr -âg-) porter une grande guantité d'objeis. Syn. kwâgara. Kwâgāga ku-nda, être veniru, ventripaoteni.",n
amăgāge,,6,"(cfr -âg-) amygdales. Gukúbita ururimi mu magāage, claquer la langue en signe de mépris.",n
kwââgama,-mye,(cfr -âg-),ĉtre à l'étroit.,
kwâgambaa,-vye,(cfr -âg-),aller à contre-Ccœur où on est mal reçu. || Marcher d'un pas lourd avec un air menaçant.,
kwâgambaa,-vye,(cfr -âg-),aller à contre-Ccœur où on est mal reçu. || Marcher d'un pas lourd avec un air menaçant.,
kwâgambaa,-vye,(cfr -âg-),aller à contre-Ccœur où on est mal reçu. || Marcher d'un pas lourd avec un air menaçant.,
umwâgambo,imy-,3l4,vaste endroit dégagé.,
kwâgamiīira,-riye,(cfr -âgam-),"peiner, marcher péniblement, travailler avec beaucoup de peine.",
kwâgamiīira,-riye,(cfr -âgam-),"peiner, marcher péniblement, travailler avec beaucoup de peine.",
inzăgamīra,,10,"personnes mechantes, insociables, troublions: on donne ce nort à ceux qui troublent les cérémonies royales lors du « Muganuro », fête des prémices.",
kwâgamura,-ye,(cfr -âgamīr-),soulever une charge très lourde.,
kwîyagamura,-ye,(cfr -agam-),"s'ébrouer, s'agiter dans la poussière (poule). Syn. kwîvurunga.",
kwîyagamura,-ye,(cfr -agam-),"s'ébrouer, s'agiter dans la poussière (poule). Syn. kwîvurunga.",
kwîyagamvya,-bije,(cfr. -Agamb-),"se pavaner. Ubu umuntu asigaye yiyagamvya mu miháruro, mainienant on peut marcher avec arrogance impunément sur les routes.",
