ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
0,"n., a., & p.c.",a,"a- ] (N.K.) ma-, conc. prefix (U), n., a., & p.c. cl, 2."
1,"ref. to cL 2, who (exactly) ?, which people?","to cL 2, who (exactly) ?, which people?","a / ma, interrog. pron. (U), ref. to cL 2, who (exactly) ?, which people?; nĩ ~ moka?, nĩ ~ na ~?, ni na tũhi, who came?, who and who?, the little girls and boys; nĩ inyur ~?, inyu nĩ ~?, who are you? ; nĩ ~ aya!, shame on you, what sort of people do you think you are!"
2,"indic. relationship, association, or possession, preceded by the p.c. of all classes","relationship, association, or possession, preceded by the of all classes","-a, part. (U), indic. relationship, association, or possession, preceded by the p.c. of all classes; the meaning is expr. by var. prep. as ’ well as the poss. in English ; nguo ci~ Kamau, K’s clothes; njira y~ rũ, the path to the river; mũgũnda w~ kĩanda, a garden in a valley; cira w~ gĩthaka, a case about land; akĩmũtheca rĩ~ nda, he stabbed him with a spear in the stomach; nĩ h~ rũĩmbo, it is a dancing place; see also ha; nĩ kw~ riũa mũno, it is a very hot country; see also kwa."
3,sign of the immediate past tenses.,sign of the immediate past tenses,"-a-, v. infix (U), sign of the immediate past tenses."
4,"expr. deep disgust, irritation","deep disgust, irritation","a’ | aa [aa-a], interj. (U), expr. deep disgust, irritation; ~, thi na kũ, Oh, for heaven’s sake, go away !"
6,(N.K.) expr.,"() disapproval, refusal to believe often accompanied by gesture of erect forefinger in face of person addressed (usually only a younger person)","aana, interj. (U), (N.K.) expr. disapproval, refusal to believe often accompanied by gesture of erect forefinger in face of person addressed (usually only a younger person)."
7,,REFERENCE,"aari, see naari."
8,"expr. disapproval of an action, or warning","disapproval of an action, or warning","aba / abai!, interj. (U), expr. disapproval of an action, or warning; ~ rĩrĩa baba arĩũka niũrĩmenya!, my ! when father comes you will get it thick!; ~ ndikwĩrire!, I told you so, clever-Dick!; cf. wee."
9,"expr. surprise, consternation, or mild annoyance","surprise, consternation, or mild annoyance","abababa-ĩ [aabababaa-ĩj, interj. (U), expr. surprise, consternation, or mild annoyance; ~, mbembe ici ti njiarul, well, well, this maize isn’t bearing yet; cf. a’."
10,,REFERENCE,"Abaci, see Habaci."
11,"used in ref. to one’s father, or addressed familiarly to another male","used in to one’s father, or addressed familiarly to another male","abai?, n. cl. 1/2 (111), used in ref. to one’s father, or addressed familiarly to another male; ~ atarĩ ho gũtiri kĩngiuma mũcii ny, in Daddd’s absence nothing shall be taken from this homestead; ~ nĩtũthii, (said even to a boy companion) come on, Dad, let’s be off!"
12,expr.,surprise coupled with indignation,"abaita / aboita, interj. (U), expr. surprise coupled with indignation."
14,"1. used by women in conjunction with names, praise names associated with various clans and the word ‘baba’ (q.v.), as a mild form of oath or to express surprise, consternation, or indignation","used by women in conjunction with names, praise names associated with various clans and the word ‘baba’ (q","abo, interj. (U), 1. used by women in conjunction with names, praise names associated with various clans and the word ‘baba’ (q.v.), as a mild form of oath or to express surprise, consternation, or indignation; ~ Angarĩ aitũ, kaĩ ndi ngombo!, good heavens, by the community of my clan Angari, am I a slave?; ~ baba, by my father, I will not go! 2. used with the foll. forms of clan names: Angari, ~ Anjirũ, ~ Njirũ;, Aceera, ~ Njeeri; Agacikũ, ~ Ambũi, ~ Mbũi; Ethaga, ~ Mbura; Aithirandũ, ~ Tthĩra; Angũi, ~ Ngũi; Aicakamũyũ, ~ ~ Iriimũ."
15,,REFERENCE,"aboita, see abaita."
16,(expr. negation) no,( negation) no,"aca [aaca], part. (U), (expr. negation) no; ~ noguo (nĩguo), indeed there is no doubt about it; ~-ni, (said to more than one person) certainly not!; cf. arĩ, naari."
17,"1. chip, shiver, splinter","chip, shiver, splinter","rũacũ, n. (11), 1. chip, shiver, splinter; cf. rokaracũ, rũcacũ. 2. thin wand as used for partition; see 3. long piece of split sugarcane suitable for children; cf. rabũa. [see acũka]"
18,,REFERENCE,"acũhia, see icũhia,"
19,"(of foodstuffs) be just right, be in good condition for eating, be crisp, ripe, mellow, &c.",make just right,"acũka, v.i. (I1), (of foodstuffs) be just right, be in good condition for eating, be crisp, ripe, mellow, &c.; (of sugar-cane) be succulent, crisp, easily broken, ripe; (of beverages) taste well, be mellow; (of bread) be light, wel! cooked; (of soil) be dry, friable, in good condition for digging; cf. ondoka. acaacaka, dim. acũkanga, diff. acũgkanĩra, assoc. acũkia, caus.; kabura kau nĩko gaacũkĩtie igwa, that light rain has mellowed the sugar-cane. acũra, v.t. 1. make just right; make crisp, ripe, mellow; arĩa maanj~ ga, those who were giving me pleasure. 2., make (soil) dry, cracked."
21,,,"-ag-!, v. infix, indic. the habitual aspect of an action in past, present, or future time ; nĩmaathom~a, they were regular students (in the past)."
22,,"-ag-?, v. root extension, an action that takes place while else is happening","-ag-?, v. root extension, indic. an action that takes place while sth. else is happening; rut~a wĩra, get on with your work, we are going to leave you; thi~a, go on, I will follow."
23,"1. lack, miss, fail to find","lack, miss, fail to find","aga, v.t. & i. (11), 1. lack, miss, fail to find; be in need of; be missing; ~ mwĩkĩre, be at a loss to know what to do; ~ tha (bata, kĩene, rũbutu), see under tha, &c.; ~ mat, see under matũ ; ~ thoni see under thoni; ~ mũndũ, give no consideration to sb. ; ignore, treat with contempt. 2. (used as aux. v. in neg. sentences) kw~ kuura irio itikũra, if it does not rain, the crops will not grow; kw~ Ũguo failing this I shall not go; cf. rega, tiga. agaaga, dim. aganga, diff. agana, rec. miss one another, fail to meet; treat each other contemptuously., Jtina na thĩ iti~ga, the buttocks and the ground cannot miss one another for ever (i.e. one is bound to come to rest some time). aganira, rec. app. agia, caus. make miss, cause not to have or find sth., deprive sth.; ~ gĩkaro, cause not to have an abode, rest, peace. fagia, caus. refl. deprive oneself of; ~ hinya, wear oneself out. agithia, d. caus. cause sb. to lack or miss sth., deprive sb. of sth.; ~ mũndũ gĩtĩo, cause a person to miss esteem, belittle. agĩka, st. pot. agĩra?, app. fail to find for; be without sth. for or at. refi. app.; ~ bata, feel worthless."
24,(only used in compound nouns) one who lacks,weakness,"mwaga!, a-, n. (v), (only used in compound nouns) one who lacks: x. ~-hinya, weak, powerless, person. 2. ~-irĩ, (term of abuse) one without possessions or progeny; cf. ni-iri. 3. ~-thoni, one who lacks modesty, ill-mannered, disrespectful, person; cf. mũra-thoni. 4. ~-tha, one without compassion, humane feelings, pity. waga, n. cl. 14 (only in compounds): 1. ~-hinya, weakness. 2. ~-thoni, shamelessness, immodesty, rudeness, lack of manners; cf. riko. 3. ~-tha, mercilessness, callousness. [aga]"
26,"n. (11), I1. a rack. 2. a gap",a rack,"rũaga, (ndwaga), n. (11), I1. a rack. 2. a gap; ~-inĩ, empty, uninhabited country. kĩaga'!, (ci-), n. aug. of above."
29,uncertainty.,uncertainty,"kĩagaga [kĩagaaga], n. cl. 7 (vrr), uncertainty. [agaga]"
31,"I. vice, wickedness, naughtiness. 2. offence against custom, tradition, &c.","vice, wickedness, naughtiness","waganu, mawaganu, n, (1V), I. vice, wickedness, naughtiness. 2. offence against custom, tradition, &c.;. lawlessness. [agana]"
33,"xĩ. transgress, go beyond the bounds of","transgress, go beyond the bounds of","agarara, v.t. (II), xĩ. transgress, go beyond the bounds of; pass over, miss out (by. oversight or inten"
34,"go over the top of, surmount","tagarara, agararũo, pass","tionally), go over the top of, surmount; cf. atia ngata. 2. step over (legs of a seated person, &c., this being regarded in the case of a woman as equivalent to sexual intercourse in certain rituals); cf. tagarara, agararũo, pass. Kahiga gatiagararagwo nĩ man, an old stone is never passed over by water (the advice of the old is never overlooked). agaagarara, dim. agararanga, diff. agararana, rec. step, jump, over one another, others; transgress against others, one another. agararanira, app. rec. agararaniria, caus. app. rec. lift (person, things) over sth. together. agararia, caus. lift over sth., cause to pass, jump, over; pass sth. over; send, throw, over. agararithia, d. caus. assist sb. to go over the top of sth., &c. agararika, st. pot. agararira, app. go over the top of sth., at, because of. agarariria, caus. app."
35,"stile, pole with projecting forks for climbing over a fence.","stile, pole with projecting forks for climbing over a fence","kĩagararo, ci-, n. (111), stile, pole with projecting forks for climbing over a fence. [agarara]"
36,,"break a taboo, do which brings ceremonial pollution on one","kĩagarĩra, n. (1x?); rra ~, break a taboo, do sth. which brings ceremonial pollution on one; cf. ngũki, thahu. [see agarara]"
37,,"(of uncooked food esp. edible arum or unripe fruit) be of an unpleasant, bitter, stinging, taste","agatha, v.i. (11) (of uncooked food esp. edible arum or unripe fruit) be of an unpleasant, bitter, stinging, taste. agaagatha, dim. agathanga, diff. agathia, caus. make unpleasant to taste. agathika, st. pot. agathira, app. become unpleasant to taste, to, at; have a bitter stinging taste at. agathirũo, pass. app."
38,"I. (of partially cooked food, unripe fruit, over spiced food) unpleasant, bitter, astringent taste","(of partially cooked food, unripe fruit, over spiced food) unpleasant, bitter, astringent taste","rũagatha, marũagatha; wagatha, (mawagatha); n. (111), I. (of partially cooked food, unripe fruit, over spiced food) unpleasant, bitter, astringent taste; cf. kimithi. 2. juice of edible arum or other uncooked food, applied as stimulant to external genitalia; see thũra. [agatha]"
39,"getting irritated, heated about sth.","getting irritated, heated about","mwagatho, mĩ-, n. (11), getting irritated, heated about sth.; cf. rĩagatha. [agatha]"
40,(N.K.) tall timber tree (Cola sp. near laurifolia),() tall timber tree (Cola near laurifolia),"mwagaũ, mĩ-, n. (1), (N.K.) tall timber tree (Cola sp. near laurifolia); cf. mũthakai."
42,I. small tree (Oncoba routledgei). 2. wild gourd plant (Sphaerosicyos),"fruit of the above, the size of a small orange, made into snuff bottles","mwage, mi-, n. (I1), I. small tree (Oncoba routledgei). 2. wild gourd plant (Sphaerosicyos); cf. (N.K.) mũhũri, mũigaigua. rĩage, ma-; kiage, ci-; n. 1. fruit of the above, the size of a small orange, made into snuff bottles; ball. 2. a small wild gourd which bears prolifically. ŨOrociara ta maage, (a nuptial blessing) may you be as fruitful as wild gourd plants."
43,"needy person, one who lacks means, one without resources","lack, want, poverty","mwai, a-, n. (V), needy person, one who lacks means, one without resources; cf. mũthini. wagi, n. cl. 14, lack, want, poverty. [aga]"
44,"midge, gnat.","midge, gnat","rũagi, njagi, n. (11), midge, gnat."
45,"be goodlooking, look well, be suitable","be good, nice, becoming (in quality or appearance), be goodlooking, look well, be suitable","agira, v.i. (11) be good, nice, becoming (in quality or appearance), be goodlooking, look well, be suitable; be in order. agaagira, dim. improve, be, become, a little better. agaagiria, caus. dim. make still better. agiranga, diff. aganirĩra, inten. rec. be mutually becoming, suited, to each other; match; be agreeable to one another, get on well together. agiria, caus. make good, nice, right; make suitable, becoming; put right, cause to look fine, well, pretty, beautiful. ragiria, refl. caus. pretend to be good; ingratiate oneself. agĩrithia, d. caus. have sth. made suitable, good, &c. fagĩrithia, refl. d. caus. make oneself appear becoming; ingratiate oneself; cf. ĩcukumithia. st. pot. agĩrĩra, app. be fitting, suitable, seemly; suit, fit (sb., sth.); be suitable to, for; be convenient, becoming to (sb., sth.); nĩkwagĩrĩre gwĩkaga nguo, it behoves (us, &c.) to be doing that. agirirũo, pass. app. (esp. in past tense with perfect) ought; kũr? maũndũa twagĩrĩrao nĩ gwĩka, there are things we ought to do. agirĩria, caus. app. make good, suitable, fitting, for, at."
46,"fitness, suitability, rightness, appropriateness.","fitness, suitability, rightness, appropriateness","wagiriru, n. cl. 14 (X), fitness, suitability, rightness, appropriateness. lagira]"
47,"niceness, beauty, goodness, prettiness.","niceness, beauty, goodness, prettiness","wagiru, n. cl, 14 (1v), niceness, beauty, goodness, prettiness. [agira]"
