INDEX,WORD,NC,PAGE-COLUMN,FREQUENCY,NC_FIXED
57,maaha (2),6,P5-C1,178,
46,wagiriru,14,P4-C1,173,
343,banga,14/6,P23-C2,78,
11,abai (2),1/2,P1-C2,65,
346,bangi / bang’i,o,P23-C2,43,9
55,mwaha,3,P5-C1,20,
201,mĩaraho,4,P15-C2,20,
190,riara,5,P15-C1,13,
29,kĩagaga [kĩagaaga],7,P3-C1,12,
3152,ita,ro,P191-C2,10,10
2348,harariga,10,P142-C2,10,
368,rũbaria,11,P25-C1,9,
7351,riega,5/6,P382-C1,7,
224,kaari,12,P17-C1,7,
310,babu,1/2 or 6,P22-C1,7,
458,betũrũ [beetũrũ] / mbetũrũ [mbeetũrũ] / n. cl. 9 only (vir),9,P28-C2,7,
283,awa (1),xi,P20-C1,6,11
4773,mbirarũ,1o,P272-C2,6,10
85,maakira,r4,P6-C2,6,14
663,buti [buuti],9/10,P37-C1,5,
4760,mbico,xo,P272-C2,5,10
2452,rũheni,11/10,P147-C1,4,
575,tũborongo | tũboronge,13,P33-C2,4,
168,Mwanei,1,P13-C1,4,
167,mwangango,3/4 or 6,P13-C1,4,
612,bundi,1/6 or 1/2,P35-C1,3,
364,Baranja,15b,P24-C2,3,
681,ibuthu,8,P37-C2,3,
6861,nyunjuri,or,P353-C1,3,9/10
2483,hianyũ,14/10 or 6,P148-C2,3,
3393,mwiririri,i,P201-C1,2,1
2364,hari / he,16,P143-C1,2,
4379,maraya [maraaya] / mũmaraya [mũaũmaraaya],1/6,P253-C2,2,
7101,raikũrũ,14/6 or 9/10,P367-C2,2,
4275,kwa,15,P249-C1,2,
4309,ũmaathi,x4,P250-C2,2,14
4325,maitha,2,P251-C1,2,
3627,rũkari n. cl. 1x,1x,P211-C1,2,11
7906,rũtha ndũtha / marũtka,11/10 or 6,P421-C2,2,
4996,ũni,r14,P280-C2,2,14
5109,Nũbi / Nũthi,o/10 or 1/2,P287-C1,2,9/10 or 1/2
499,birithi / borithi,9/10 or 1/2,P30-C1,2,
1277,cuba [cuuba],o/10,P72-C2,2,9/10
1088,rũcinĩ [rũnũciini],11/6,P59-C2,2,
6887,nyũngũ (1),9/10 or 6,P354-C1,1,
5388,rũndĩndi,1x1,P295-C2,1,11
10085,wabici,oj10 or 6,P559-C2,1,9/10 or 6
9293,mathimũrithi [mathimũriithi] / mithumurithi [mĩthumuriithi],6 or 4,P512-C2,1,
5631,ngai (1),o and cl,P304-C1,1,9
5738,ngena,i0,P307-C1,1,10
6229,ng’ong’o [ng oongo],14/10,P325-C2,1,
9266,ithiiro / ũthiiro,5 orj,P511-C1,1,5
6368,njara-rũhi,1/2 or 9/10,P332-C1,1,
8997,thang’i,10o,P494-C1,1,10
8821,ũtũria (cl. iv) / ũtnũrio (cl. 111),iv,P484-C1,1,14
7501,rithabu [rithaabu] / rĩthabu [rĩthaabu],oj1o or 6,P393-C1,1,9/10 or 6
7505,rithii [riithii] / (N.K.) ribii [riibĩ}] / ruthĩ [ruuthii],14/6 or 10,P393-C1,1,
8192,tende / itende,14 or 5/6,P441-C1,1,
6956,ruona,1r,P359-C2,1,11
8128,gĩtaũ (2),1/2 or 7,P435-C2,1,
8044,metanga | itanga (1),6 or 8,P431-C2,1,
8023,taniboi / tani (2),9/6 or 1/2,P429-C2,1,
7122,rami,o/ro or 14/6,P368-C2,1,9/10 or 14/6
7221,Rũraya / Ũraya,11 or 14,P374-C1,1,
7341,rũribaribo,1z,P381-C1,1,11
7905,irũtũ,o9,P421-C2,1,9
7892,rũriri ndũrĩri [ndũrĩri],x1/10,P421-C1,1,11/10
7663,rũrongoro [rũrongooro],rir,P404-C2,1,11
6937,guoko,15/6,P358-C1,1,
3523,ũkamba | kamba (2),11 or 14/6,P206-C1,1,
5047,-no,4 and cl,P283-C1,1,
2005,igoti / n. cl. 5 or cl. 14 (1),5 or cl,P119-C2,1,
322,rũbage [rnbaage],x11,P23-C1,1,11
464,biacara / mbiacara,9/10 or 14/6,P29-C1,1,
625,buremu [burceemu] / bureimu,o/10 or 14/6,P35-C2,1,9/10 or 14/6
1020,-ci,8 and 10,P55-C2,1,
1021,-ci-,8 and 10o,P55-C2,1,8 and 10
1131,citi [ciiti]},14 or 9/6,P63-C1,1,
1294,Gĩcuka,7 or 15b,P73-C2,1,
1301,cukuru / thukuru,o/10 or 6,P74-C1,1,9/10 or 6
1356,cuura,14/2 or 6,P77-C1,1,
1513,kĩene | (N.K.) wene,7 or 14,P88-C2,1,
1599,kwerũ,17,P95-C2,1,
1724,mũgarũ (1),r/2,P102-C2,1,1/2
1729,migarũrũku | magarũrũko,4 or cl,P103-C1,1,4
2025,rũguarũ | guarũ,11 or 9,P120-C2,1,
4952,ũnanu [ũnaanu],x14,P279-C1,1,14
2178,ignrũ (2),5 and cl,P130-C1,1,5
2546,hithio,14 or o,P153-C1,1,14 or 9
2549,ũhiũg (2),n,P153-C2,1,14/6
3127,iri,14 or cl,P189-C2,1,14
3542,ikanika [ikaanika],5/6 or 1/2,P207-C1,1,
3599,makaragatha / ngaragatha,6 or 10,P210-C1,1,
3673,keheri-inĩ [keeheri-inĩ],r2/13,P212-C2,1,12/13
4271,Gikũyũ,i and cl,P249-C1,1,1 and 7
4303,Maagũ,o or cl,P250-C1,1,9 or 1
4324,mait,r,P251-C1,1,1
4326,maithikiri,9/6,P251-C1,1,
4357,rũmande | rũmandi,11r,P252-C2,1,11
4642,rũmuru,rr,P268-C1,1,11
10142,warũkari,14/6 or 1/2,P561-C1,1,
