,GLOBAL_INDEX,WORD,AFFIX,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY,FAILED,WORD_CLEAN,AFFIX_CLEAN,FULL_ENTRY_CLEAN
13,13,inyawïyabira,bānyáwīïyabira,9lal2a,"femme qui a habitude de gémir, hypocondre",n.,P1-C1,"inyawïyabira, bānyáwīïyabira, 9lal2a, (cfr -iyabir)-, femme qui a habitude de gémir, hypocondre. Syn. nyawririra. Inyawlyabira iri munzu, la dolente est dans la hutte. Bānyáwīlyabira bari mu-nzu, les hypocondriaques sont à l'intérieur,",False,inyawïyabira,bānyáwīyabira,"inyawïyabira, bānyáwīïyabira, 9lal2a, (cfr -iyabir)-, femme qui a habitude de gémir, hypocondre. Syn. nyawririra. Inyawlyabira iri munzu, la dolente est dans la hutte. Bānyáwīlyabira bari mu-nzu, les hypocondriaques sont à l'intérieur,"
65,65,icâgo,ivy,7l8,calamité,n.,P2-C2,"icâgo, ivy, 7l8, -āâg-), calamité. || Fig. individu hardi. Surhomme, Sert à former certains superlatifs. N'Icâgo mu bwênge, il est très intelligent, N'icago mua kwîruka, i court très vite, Prov, 601, 602, 1012, 1487, 2097, 2465,",False,icâgo,ivy,"icâgo, ivy, 7l8, -āâg-), calamité. || Fig. individu hardi. Surhomme, Sert à former certains superlatifs. N'Icâgo mu bwênge, il est très intelligent, N'icago mua kwîruka, i court très vite, Prov, 601, 602, 1012, 1487, 2097, 2465,"
73,73,ubwâkwahá,ivyâkwahá,148,poils sous l'aisselle,n.,P3-C1,"ubwâkwahá, ivyâkwahá, 148, (cfr -âha 15), poils sous l'aisselle. Var. ubucâkwahá. Prov. 1564.",False,ubwâkwahá,ivyâkwahá,"ubwâkwahá, ivyâkwahá, 148, (cfr -âha 15), poils sous l'aisselle. Var. ubucâkwahá. Prov. 1564."
78,78,urwaha,1l,,gros ennuis.,adj,P3-C1,"urwaha, 1l, (cfr -âhb-), gros ennuis.",False,urwaha,1l,"urwaha, 1l, (cfr -âhb-), gros ennuis."
94,94,Jondamaniyáhire,la,,sobriquet du mari dont la femme porte les culottes,n.,P3-C2,"Jondamaniyáhire, la, (-jondam- penche (toi), -âhhir- cueillir: je vais cueillir moi-même), sobriquet du mari dont la femme porte les culottes",False,Jondamaniyáhire,la,"Jondamaniyáhire, la, (-jondam- penche (toi), -âhhir- cueillir: je vais cueillir moi-même), sobriquet du mari dont la femme porte les culottes"
136,136,kwìyakira,riye,,accoucher sans être aidée,v.,P5-C1,"kwìyakira, riye, (cfr -akïr-), accoucher sans être aidée. || Fig. Kuvyâra ukîyakīra, être heu reux, avotr de la chance. Syn. guhîrwa.",False,kwìyakira,riye,"kwìyakira, riye, (cfr -akïr-), accoucher sans être aidée. || Fig. Kuvyâra ukîyakīra, être heu reux, avotr de la chance. Syn. guhîrwa."
152,152,kwakura,ye,,"appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire.",v.,P5-C2,"kwakura, ye, (cfr -ak- demander), appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire. Syn. kurêngutsa. || Iy unsindira sínakwakuye, ne prennuie pas, je ne tai pas provoqué.",False,kwakura,ye,"kwakura, ye, (cfr -ak- demander), appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire. Syn. kurêngutsa. || Iy unsindira sínakwakuye, ne prennuie pas, je ne tai pas provoqué."
162,162,Nyawămaho,la,,Syn. Imâna,n.,P6-C1,"Nyawămaho, la, (cfr -âmâho), Syn. Imâna.",False,Nyawămaho,la,"Nyawămaho, la, (cfr -âmâho), Syn. Imâna."
217,217,ame,V.,,Me.,v.,P8-C1,"ame, V. Me.",False,ame,V.,"ame, V. Me."
218,218,ubwâmé,i4,,"ce qui existe toujours, permanent",n.,P8-C1,"ubwâmé, i4, (cfr -âm-), ce qui existe toujours, permanent. Ubwămi buturuka ku bwâmé, la royauté prend ses racines dans la stabilité,",False,ubwâmé,i4,"ubwâmé, i4, (cfr -âm-), ce qui existe toujours, permanent. Ubwămi buturuka ku bwâmé, la royauté prend ses racines dans la stabilité,"
