WORD,diff_status,WORD_OLD,WORD_NEW,DESCRIPTION_OLD,DESCRIPTION_NEW,POS_OLD,POS_NEW,AFFIX_OLD,AFFIX_NEW,NOUN_CLASS_OLD,NOUN_CLASS_NEW
99,CHANGED,,ukurâho,,-râho,,v.,,,,
112,CHANGED,,nyawïiyahura,,sorte de papillon,,n.,,,,
113,CHANGED,,kwâhuranya,,couper,,v.,,-nije,,
114,CHANGED,,kwîyahurira,,"se suicider à cause de, pour",,v.,,-iye,,
115,CHANGED,,umwâhuro,,une rigole,,n.,,imy-,,3|4
152,CHANGED,,kwakura,,"appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire.",,v.,,ye,,
153,CHANGED,,kwakuza,,faire venir qgan en appelant subrepticementi.,,v.,,-je,,
154,CHANGED,,ubwâkwahá,,v,,v,,-ahá,,
155,CHANGED,,alifu,,titre de l'abécédaire employé dans les classes de simple lecture,,V.,,,,
168,CHANGED,,kwâmannna,,"être toujours ensemble. Se fréquenter, se rencontrer souvent. Faire habituellement. être criblé de deites. être peureux, poltron, craintif, timide, être chagrin, avoir un caractère chagrin.",,v.,,-nye,,
169,CHANGED,,kwîyamana,,"être acariâtre, se chercher querelle, se battre.",,adj.,,-nye,,
170,CHANGED,,urwîyamané,,"brouille, dispute enfantine.",,n.,,,,1i
171,CHANGED,,kwâmangara,,s'enfuir au loin.,,v.,,-ye,,
192,CHANGED,,kwambarira,,"se vêtir pour, à tel endroit",,v.,,-ye,,
193,CHANGED,,urwambariro,,"taille, ceintuire",,n.,,,,
194,CHANGED,,kwambariza,,"intercéder, prier, demander instamment pour",,v.,,-je,,
195,CHANGED,,Nyamwambariza,,Dieu,,n.,,,,
203,CHANGED,,kwambikiza,,se mettre en route,,v.,,-,,
268,CHANGED,,umwâna,,enfant; jeune,,n.,,ab-,,1|2
269,CHANGED,,bāmwâna,,terme de référence désignant les beaux-parents entre eux,,n.,,24,,
270,CHANGED,,imbúrabâna,,femme donti les enfants meurent lun après lautre,,n.,,-búr-,,
271,CHANGED,,urunyábāna,,maladie infantile,,n.,,,,11
280,CHANGED,,kwâna,,crier faiblement,,v.,,-nyc,,
281,CHANGED,,urwânâbí,,,,n.,,,,
282,CHANGED,,kwânāga,,"pleurer, crier, hurler",,v.,,-ze,,
283,CHANGED,,urwânāgá,,"cri, ment, beuglement",,n.,,inz-,,11ll|10
388,CHANGED,,inyánkané,,"disorde, rancune",,n.,,,,9
389,CHANGED,,-shije,,exciter la haine,,v.,,,,
390,CHANGED,,umwârkano,,"antagonisme, inimitié",,n.,,,,3
391,CHANGED,,kwâukanya,,"espacer, créer des inimitics",,v.,,-nije,,
580,CHANGED,,kwazambirwa,,recevoir les confidences de,,v.,,-iwe,,
581,CHANGED,,ubwiba,,couches,,n.,,,,14
582,CHANGED,,bá,,idéophone exprimant l'émotion,,interj.,,,,
583,CHANGED,,kubá,,être,,v.,,-bâye,,
620,CHANGED,,ibábwe,,odeur de chair brâlée,,n.,,ama-,,
621,CHANGED,,bacó,,ôbo,,v.,,v.,,
622,CHANGED,,kubddika,,"repiquer, replanter",,v.,,-tse,,
623,CHANGED,,kwîibaddika,,"s'asseoir sans y ĉtre invité, se fourrer en tel endroit",,v.,,-tse,,
956,CHANGED,,umubaázagizo,,information serrée,,n.,,imi-,,3|4
957,CHANGED,,kubâzagura,,,,n.,,-yee,,
958,CHANGED,,umubâzaguro,,dounleurs d'entrailles,,n.,,imi-,,3l4
959,CHANGED,,umubāzano,,remède (raclures d'écorces),,,,,,3l4
1165,CHANGED,,amâbi,,retour du pian,,n.,,,,6
1166,CHANGED,,ikibi,,"le mal, le péché",,n.,,,,7|8
1167,CHANGED,,umunyábibi,,pécheur,,n.,,aba-,,1|2
1208,CHANGED,,kubîkira,,conserver pour,,v.,,-ye,,
1209,CHANGED,,kubîkīra,,endormir un enfant,,v.,,-kīriye,,
