GLOBAL_INDEX,WORD,NOUN_CLASS,PAGE-COLUMN,FULL_ENTRY,FREQUENCY
13,inyawïyabira,9a|2a,P1-C1,"inyawïyabira, bānyáwīïyabira, 9lal2a, (cfr -iyabir)-, femme qui a habitude de gémir, hypocondre. Syn. nyawririra. Inyawlyabira iri munzu, la dolente est dans la hutte. Bānyáwīlyabira bari mu-nzu, les hypocondriaques sont à l'intérieur,",1
72,ukwâha,15|6,P3-C1,"ukwâha, am-, 15|6, (cfr -âh-), aisselle. Gushira umuntu mu kwâha, emmener gan où lon a été invité à boire. || Fig. Ntā mbavu n'ûkwâha, pas de distinction entre mes enfanis (jitt. il ny a pas de côté ni d’'aisselle). Prov. 1222, 2390, 3328, 3735.",1
78,urwaha,11,P3-C1,"urwaha, 1l, (cfr -âhb-), gros ennuis.",1
246,urwâmo,11|10,P9-C1,"urwâmo, inz-, 11190, (cfr -âm- chasser par des cris), tumulte, tapage, rumeur, vacarme. Syn, intūrēka. Prov. 2459.",1
269,bāmwâna,2|4,P10-C1,"bāmwâna, 24, (cfr -âna 1), terme de référence désignant les beaux-parents entre eux. Syn. cămbu. Sé aguma hanzé, gushika bamwěëreke nzu arí kwā bāmwâna (cămbu) cânké indâro yîndi bûbatse kubêra abapfâsóni batinjíra, le père reste à l'extérieur, ce gwon lui montre une autre matson, soit chez le compère (les beaux-parents du j.) ou bien (dans) un autre gîte qwon a construit dans ce but (litt. du fait que les beaux-përes wentrent pas). TRoUweoRsTt 136. V. parenté, p. 6ló,",1
277,akâna,12|13,P10-C1,"akâna, utw-, 1243, (cfr -âna Í), enfançon. Urambarira akâna k 'ubuságe, tu me parleras de ce petit enfant dont les cheveux pendenti en mêches. Arahéza ayiba nyā kâna, la donna ensuite à ce petit enfant,",1
283,urwânāgá,11|10,P10-C2,"urwânāgá, inz-, 11ll|10, (cfr -ânāg-), cri, ment, beuglement. Syn. indûrú. Impňndu sûrwânāgá, (loc. proverbiale), fes cris de joie ne sont pas des cris d'enfants. Le sens de cette locution est le suivant: la reconnaissance se prouve par des actes. umwânāgó, imy-, 34, (cfr -ânāg-), cris enfanFINS.",1
289,inyánăna,9|10,P10-C2,"inyánăna, 9j19, (cfr -ânān-), ibis. — La tradition populaire prétend que les ibis sont des enfants qui, autrefois, se sont égarés., Lorsqu'ils crient, ils sont censés appeler leurs parents.",1
370,akāabwâníke,12BU,P12-C2,"akāabwâníke, FBU, (cfr -ânik-), désert; lieu stérile. || Gusiga umuntu ku kābwâníke, abandonner qan sans soutien, dans la misère.",1
386,urwânkàmpězu,,P13-C1,"urwânkàmpězu, v, -hŭzu.",1
408,umwânuko,3|4,P14-C1,"umwânuko, imy-, 3(l, (cfr -ânuk-), éclat de rire. Syn. akânikizo.",1
418,umwănya,3|4,P14-C2,"umwănya, imyžnya, 3ij4, (cfr -ân-), espace, lieu, endroit. Kuja mu mwănya, séparer des bagareurs. || Morceaux d'une bête dépecée, Gutônda imyanya, ranger les parties Fune bête dépecée. | Temps, espace de temps, laps de temps. Umwănya urí mu gushika, vers cette époque, au temps prévu. Ngo nta mwănya afisé, il te fait dire gwil nwa pas le temps. Barashwââbira imiti y'ûbwôko bakayitápfuna, mu myănya yintoke amabuye ivymwaaa bibozé; umwănya umurwâyi bāmucăiye ururásāgo háno ababára, baramúhenda ngo nābumírize, bakamukubita ivy umupfûmu afisé bakamwereka ngo ni vyo nyéne bāmukŭyėmwo, ils ramassent çà ei là des simples divers et ils les mââchonnent; (ils ont) entre leurs doigts des cailloux ou des fruits pourris; lorsque lon fait une incision du malade là où il souffre, on le trompe, on lui dit de fermer les yeux et on le frappe avec ce que le guérisseur a (en mains), ensuite on le lui montre en disant que c'est cela gwon lui a tiré du corps. || Néol. temps de la conjugaison. Shira irivúga mu mivúgwa yōse, mu myanya yōse nó mu-mpindaguro zōse, mets ce verbe à tous les modes, à fous les temps et à toutes les perSOnneEs.",1
510,akâshi,12|13,P16-C2,"akâshi, utw-, 12|135, avorton, enfant chétif, malingre. Syn. akûbwâ, akazîngo. Var. akâshigiri.",1
533,urwââto,11|10,P17-C1,"urwââto, inz-, 11(10, (cfr -ât-), petite calebasse. PEP urumāri, urubaya, urugabuzo. M.RA.C. 26.",1
541,akătsi,12|13,P17-C2,"akătsi, utw-, 12|l3, (cfr -ătsi 14), brin d'herbe. || Petit terrain de culture. || Fig. Gucá akătsi, jurer; clore une discussion, Bashiraho ivyăbona, baracâ akătsi, iis prirent des témoins et mirent fin à leur discussion. || Kuryâmira akatsi, rester calme, indifférent dans une dispute, une bagarre. Ntakimenya akătsi nwurúro, il est ivre au point de ne plus y voir clair; ivre-mort.",1
