WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS,SYNONYMS
a,(inv.),,"interjection de négation, de dénéga- tion: non.",interj.,
umwaba,imy-,3/4,"surface de terre arable dans le marais. Mw-irima ry'imyvaba, durant la cul- ture des marais.",,
akāba,utw-,12|13,"lopin de terre arable. Drain dans les champs de marais. Akāba n'umugazo barekérwa mu busjíze bw’îmfůûnzo, dans le ter- rain défriché, parmi les papyrus on dégage un drain appelé akāba.",,
kwâba,-âvye,,"crier vers; avoir recours à, recourir à. Hăgira ikibâye gishikíye umuryango băca bágenda kwâba umupfúmu, si un malheur frappait la famille, ils allaient aussitôt consulter le devin.",,
kwabāba,-vye,,"(-ab--), tendre la main pour prendre en se dressant sur la pointe des pieds. li Commencer à ramper (enfant). Syn. kwavūra. l Etre presque égal, approcher de près.",,
wăbāba umukůru,,"vice-président, lieutenant","Aramwabäba mu kuvůka, ils ont presque le même âge.",,
kwâbagira,-ye,,"(cfr -âb-), beugler sans cesse. || Pleurnicher. || Chercher qan en l'appelant sou- vent; appeler à cor et à cri.",,
umwâbagirano,imy-,3|4,"(cfr -âbagir-), beu- glement, appels du bétail au pâturage.",,
urwăbagiza,,11,"(cfr -âbagiz-), philtre amou- reux,",,
kwâbagiza,-je,,"(cfr -âbagir-), inportuner ggn en le forçant à parler. || Manæuvrer pour, en vue de. Umugòre yāma amwâbagiza mu kuja bujé, sa femme se rend souvent chez elle pour gwil aille la rechercher.",,
kwâbagizwa,-jwe,(cfr -âbagiz-),se dévouer en faveur de qqn.,-,
kwabira,-riye,(-ab--),prendre.,-,
kwâbira,-ye,(cfr -âb-),"beugler, bêler.",-,
kwîyabira,-ye,(cfr -âbir-),"gémir, se plaindre de douleurs.",-,
bābīirahamwé,,-mwé. o,,-,
kwabīrana,-nye,(cfr -abīr-),"convoler, se marier.",-,
kwåbirira,-ye,(cfr -âbir),"beugler pour, à.",-,
kwâbirirwa,-riwe,(cfr -âbirir-),"être recherché, jouir de lestime générale.",-,
kwabīrwa,-riwe,(cfr -abīr-),être épousée.,-,
icăbonaą,,-bona.,,-,
inyăbu,9|10,(cfr -abur-),égratignure.,-,
kwabura,-ye,(cfr -ăbu 9),égratigner.,-,
kwabūra,-ye,-(-ab--)},"copier discrètement en observant l'exercice d'un métier; écouter les paroles, l'expression de qqn pour ÏVimiter, le ridiculiser.",-,
umwabūzo,imy-,(cfr -abūr-),balai.,-,
kwâcanisha,-shije,(sw.).,"séparer. || Diviser, dresser l'un contre l'autre.",-,
icāduka,ivy-,7|8,"(cfr -âduk-), accident, événe- ment imprévu.",-,
kwâduka,-tse,"venir de, provenir de.","fco gikôkó cādutsė he ?, d'où déboule cet animal? || Survenir à limproviste; être accidenté.",-,
kwâdukana,-nye,(cfr -âduk-),survenir en même temps. || Enlever.,-,
umwåâduruko,imy-,34,"(cfr -âduk-), fente accidentelle.",-,
kwaga,-aze,gratter légèrement.,"|| Fig. Kwaga bāsí, implorer, supplier, s'humilier devant qqn.",-,
kwîyaga,-ze,(cfr -ag-),"se gratter. || Fig. Kwîyaga umutwé, se fâcher.",-,
kwâga,-ze,"être étroit, resserré,","|| Fig. Kirâga câgutse, je ne sais que faire, je n'en sors pas (à cause de la haine qwon me porte).",-,
umwăga,imy-,34,"(cfr -âg-) nerveux, agres- sif.",,
abăga,imy-,34,"(cfr -âg-) étroitesse, inso- ciabilité.",,
urwăga,-f,1f,"(cfr -âg-) difficulté; insociabilité, hargne.",n.,
umuntu,,,"Umuntu wumwăga, personne peu sociable.",,
urugōro,,,Syn. umuhágātizo.,,
umuhágātizo,,,Syn. urugōro.,,
urwăga,-ze,-ze,(cfr -âg-) porter une grande quantité dobjeis.,n.,
kwâgāga,,,"Kwâgāga ku-nda, être ventru, ventripotent.",,
amăgāge,-6,-6,(cfr -âg-) amygdales.,,
kwåâgama,-mye,-mye,(cfr -âg-} ĉtre à l'étroit.,,
kwâgamba,-vye,-vye,(cfr -âg-) aller à contre-cæur où on est mal reçu.,n.,
inzovu,,,"Inzovu irâgamba mu kabândé, un éléphant avance dans la vallée.",,
ruvúbu,,,Ruvúbu rurâgamba kuva i Gatára gushika mu kiyága la Ruvubu prend sa source aux environs de Gatara et se déverse dans le lac Victoria.,,
umwâgambo,imy-,-mye,"(cfr -âgamb-) vaste (pâturage), endroit dégagé.",,
kwâgamira,-riye,-riye,"(cfr -âgam-) peiner; mar- cher péniblement, travailler avec beaucoup de peine.",,
kwâgaduka,-tse,-tse,(cfr -âg-) étre désert.,,
inzăgamīra,-ye,10,(cfr -âgamiīr-),,
kwâgamura,-ye,,(cfr -âgamir-),,
kwîyagamura,-ye,,(cfr -agam-),,
kwîyagamvya,-bije,,(cfr. -âgamb-),,
änirwa,-niwe,,(cfr -âg-),,
kwâgānura,-yeẹ,,(cfr -âg-),,
kwagāra,-ye,,(cfr -ag-),,
kwâgara,-ye,,(pop.-),,
urwâgashá,inz-,,{cfr -âgatir-),,
kwâgatira,-ye,,(cfr -âg-),,
kwagāza,-je,(cfr -agār-),"chatouiller, gratter Syn. gukwashagura.",-,
,,,"Kwagāza umuntu, flatter qqn.",n.,
,-je,(cfr -agāz-),"se gratter, se cha-touiller.",-,
umwâgazi,imy-,314,"(cfr _-âgar-), agneau, agnelle.",-,
,,,"Umwâgazi w'intäāma, le petit d'une bre-bis: umwâgazi w'impèėne, cabri, chevreau.",-,
ubwăge,,14,"(cfr -âg-), pénurie (qui empêche de vivre largement). Prov. 2305-2306",-,
kwâgira,-ye,(cfr -âg-),être étroit pour.,-,
,,,"Kwâgira umuntu, dépendre de qqn ou demander logement à qqn. il Kwâgira Nàmpiri, se fier à qqn.",-,
kwâgiranya,-nije,(cfr -âgir-),plaider l'un contre lautre. Syn. kubûranira.,-,
,,,"Kwâgiriza igikôkó, traquer un animal durant la chasse.",-,
umwâgirizi,{1|2},(cfr -âgiriz-),"accusateur; iémoin. Syn. icăbona, icâgirizi.",-,
urwâgirizo,inyágirizo,1110,(cfr -âgiriz-),,['agahinyúza']
kwâgirizwa,-jwe,1110,(cfr -âgiriz- ),,"['kurégwa', 'être dans la peine']"
amâgiro,6,1110,(cfr -âgir-),,"['umwîtūzo', 'amasabo']"
kwîyagisha,-ije,1110,(cfr -ag-),,['se gratter au moyen de']
icâgo,ivy-,1110,(cfr -âg-),,"['calamité', 'surhomme']"
kwâguka,-tse,1110,(cfr -âg-),,"['être large, étendu']"
ubwăguke,14,1110,(cfr -âguk-),,['ubugåri']
kwâgukirwa,-iwe,1110,(cfr -âguk-),,['avoir du bien au soleil; ĉtre riche']
kwâgura,-yeẹ,1110,(cfr -âg-),,"['élargir', 'gutārūra']"
