WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS,word,plural,noun_class,description,pos
a,(inv.}),,"interjection de négation, de dénéga- tion: non. Peut être prononcée à bouche entrou- verte ou à bouche fermée.",,,,,,
umwaba,imy-,34|13,surface de terre arable dans le marais.,,,,,,
akāba,utw-,12|13,lopin de terre arable. Drain dans les champs de marais.,,,,,,
kwâba,-âvye,,"crier vers; avoir recours à, recourir à.",,,,,,
kwabāba,-vye,,"(–ab–), tendre la main pour prendre en se dressant sur la poinie des pieds.",,,,,,
kwâbagira,-ye,,"(cfr -åb-), beugler sans cesse.",,,,,,
umwâbagirano,imy-,3|4,"(cfr -âbagir-), beu- glement, appels du bétail au pâturage.",,,,,,
urwăbagiza,,11,"(cfr -âbagiz-), philtre amou- YEUX",,,,,,
,,,,,kwåbagiza,-je,[2] [3],tnportuner en le forçant à parler.,V
,,,,,kwâåbagizwa,-jweẹ,[2] [4],se dévouer en faveur de qan.,V
,,,,,kwabira,-riye,[1] [5],prendre.,
,,,,,kwâbira,-yeẹ,[1] [6],"beugler, bêler.",
,,,,,kwiyabira,-ye,[2] [7],"gémir, se plaindre de douleurs.",
,,,,,inyawïyabira,bānyáwīïyabira,[3] [8],"femme qui a habitude de gémir, hypo- condre.",
,,,,,bābīirahamwé,,[9] [10],,
,,,,,kwabīrana,-nye,[1] [11],"convoler, se marier.",
kwâbirira,-ye,2|1,"beugler pour, à.",V,,,,,
kwâbirirwa,-riwẹe,2|2,"étre recherché, jouir de Festime générale, Syn. gushimwà.",V,,,,,
kwabīrwa,-riwe,2|1,être épouséz. Syn. kurongorwa.,N,,,,,
icăbona,,2|0,,,,,,,
inyăbu,-ye,9|10,égratignure.,V,,,,,
kwabūra,-ye,2|-1,"faire en sorte qwun chanp ne réussisse pas, ensorceler un champ et le rendre stérile, Syn. gutôra imbúto.",V,,,,,
umwabūzo,imy-,34|2,balai. Syn. umukúbūzo.,N,,,,,
kwåâcanīsha,-shije,{sw}|1,"Diviser, dresser l'un conire l'autre. Syn., kwânkanisha.",V,,,,,
icāduka,,"[7, 8]","accident, événe- meni imprévu. Syn. impanuka.",,,,,,
kwåduka,-tse,"[7, 34]","venir de, provenir de, gikôkó cādutsė he 7, d'où déboule cet animal? || Survenir à limproviste; être accidenté. || Se déclarer (maladie).",,,,,,
kwâdukķkana,-nye,"[None, None]","(cfr -âàduk-), survenir en même temps. || Enlever. Nyā mwâna yaram- wâdukanye, et il a kidnappé cet enfant.",,,,,,
umwåduruko,imy-,"[34, None]","(cfr -âduk-), fente accidentelle. Syn. umugaāga.",,,,,,
kwaga,-aze,"[None, None]","gratter légèrement. || Fig. Kwaga bāsí, supplier, s'humilier devant qqn.",,,,,,
kwîyaga,-ze,"[None, None]","(cfr -ag-), se gratter. || Fig. Kwîyaga umutwé, se fâcher. Prov. 246, 1612, (-îyagw- 1608). .",,,,,,
kwâga,-ze,"[None, None]","ĉtre étroit, resserré, || Fig. Kirâga câgutse, je ne sais que faire, je n'en sors pas (à cause de la haine quon me porte). Prov. 414, 493, 1161.",,,,,,
umwăga,abăga,"[1, 2]","(cfr -âg-), nerveux, agres- sif. Umuntu wumwăga, personne peu sociable. Prov. 1327.",,,,,,
umwăga,imy-,34|,étroitesse; inso- ciabilité.,null,,,,,
