BATCH_START_INDEX,BATCH_INDICES,FAILED,RAW_OUTPUT
99,[99],0,"{
  ""entries"": [
    {
      ""id"": ""0"",
      ""WORD"": ""ukurâho"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""-râho"",
      ""POS"": ""v.""
    }
  ]
}"
112,"[112, 113, 114, 115]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""nyawïiyahura"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""sorte de papillon"", ""POS"": ""n.""}, {""id"": ""1"", ""WORD"": ""kwâhuranya"", ""AFFIX"": ""-nije"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""couper"", ""POS"": ""v.""}, {""id"": ""2"", ""WORD"": ""kwîyahurira"", ""AFFIX"": ""-iye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""se suicider à cause de, pour"", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""umwâhuro"", ""AFFIX"": ""imy-"", ""NOUN_CLASS"": ""3|4"", ""DESCRIPTION"": ""une rigole"", ""POS"": ""n.""}]}"
152,"[152, 153, 154, 155]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""kwakura"", ""AFFIX"": ""ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire."", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""kwakuza"", ""AFFIX"": ""-je"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""faire venir qgan en appelant subrepticementi."", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""kwakwa"", ""AFFIX"": ""I-atswe"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""prélever, exiger."", ""POS"": ""v.""}, {""id"": ""2"", ""WORD"": ""ubwâkwahá"", ""AFFIX"": ""-ahá"", ""NOUN_CLASS"": null, ""DESCRIPTION"": null, ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""alifu"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""titre de l'abécédaire employé dans les classes de simple lecture."", ""POS"": ""n.""}]}"
168,"[168, 169, 170, 171]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""kwâmannna"", ""AFFIX"": ""-nye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""être toujours ensemble. Se fréquenter, se rencontrer souvent. Faire habituellement. être criblé de deites. être peureux, poltron, craintif, timide, être chagrin, avoir un caractère chagrin."", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""kwîyamana"", ""AFFIX"": ""-nye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""être acariâtre, se chercher querelle, se battre."", ""POS"": ""adj.""}, {""id"": ""2"", ""WORD"": ""urwîyamané"", ""AFFIX"": null, ""NOUN_CLASS"": ""1i"", ""DESCRIPTION"": ""brouille, dispute enfantine."", ""POS"": ""n.""}, {""id"": ""3"", ""WORD"": ""kwâmangara"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""s'enfuir au loin."", ""POS"": ""v.""}]}"
192,"[192, 193, 194, 195]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""kwambarira"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""se vêtir pour, à tel endroit"", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""urwambariro"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""taille, ceintuire"", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""kwambariza"", ""AFFIX"": ""-je"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""intercéder, prier, demander instamment pour"", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""Nyamwambariza"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""Dieu"", ""POS"": ""n.""}]}"
203,[203],0,"{
  ""entries"": [
    {
      ""id"": ""0"",
      ""WORD"": ""kwambikiza"",
      ""AFFIX"": ""-"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""se mettre en route"",
      ""POS"": ""v.""
    }
  ]
}"
268,"[268, 269, 270, 271]",0,"{""entries"": [
  {
    ""id"": ""0"",
    ""WORD"": ""umwâna"",
    ""AFFIX"": ""ab-"",
    ""NOUN_CLASS"": ""1|2"",
    ""DESCRIPTION"": ""enfant; jeune"",
    ""POS"": ""n.""
  },
  {
    ""id"": ""1"",
    ""WORD"": ""bāmwâna"",
    ""AFFIX"": ""24"",
    ""NOUN_CLASS"": null,
    ""DESCRIPTION"": ""terme de référence désignant les beaux-parents entre eux"",
    ""POS"": ""n.""
  },
  {
    ""id"": ""2"",
    ""WORD"": ""imbúrabâna"",
    ""AFFIX"": ""-búr-"",
    ""NOUN_CLASS"": null,
    ""DESCRIPTION"": ""femme donti les enfants meurent lun après lautre"",
    ""POS"": ""n.""
  },
  {
    ""id"": ""3"",
    ""WORD"": ""urunyábāna"",
    ""AFFIX"": null,
    ""NOUN_CLASS"": ""11"",
    ""DESCRIPTION"": ""maladie infantile"",
    ""POS"": ""n.""
  }
]}"
280,"[280, 281, 282, 283]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""kwâna"", ""AFFIX"": ""-nyc"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""crier faiblement"", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""urwânâbí"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": null, ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""kwânāga"", ""AFFIX"": ""-ze"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""pleurer, crier, hurler"", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""urwânāgá"", ""AFFIX"": ""inz-"", ""NOUN_CLASS"": ""11ll|10"", ""DESCRIPTION"": ""cri, ment, beuglement"", ""POS"": ""n.""}]}"
388,"[388, 389, 390, 391]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""inyánkané"", ""AFFIX"": null, ""NOUN_CLASS"": ""9"", ""DESCRIPTION"": ""disorde, rancune"", ""POS"": ""n.""}, {""id"": ""1"", ""WORD"": ""-shije"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""exciter la haine"", ""POS"": ""v.""}, {""id"": ""2"", ""WORD"": ""umwârkano"", ""AFFIX"": null, ""NOUN_CLASS"": ""3"", ""DESCRIPTION"": ""antagonisme, inimitié"", ""POS"": ""n.""}, {""id"": ""3"", ""WORD"": ""kwâukanya"", ""AFFIX"": ""-nije"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""espacer, créer des inimitics"", ""POS"": ""v.""}]}"
580,"[580, 581, 582, 583]",0,"{""entries"": [
    {
        ""id"": ""0"",
        ""WORD"": ""kwazambirwa"",
        ""AFFIX"": ""-iwe"",
        ""NOUN_CLASS"": null,
        ""DESCRIPTION"": ""recevoir les confidences de"",
        ""POS"": ""v.""
    },
    {
        ""id"": ""1"",
        ""WORD"": ""ubwiba"",
        ""AFFIX"": null,
        ""NOUN_CLASS"": ""14"",
        ""DESCRIPTION"": ""couches"",
        ""POS"": ""n.""
    },
    {
        ""id"": ""2"",
        ""WORD"": ""bá"",
        ""AFFIX"": null,
        ""NOUN_CLASS"": null,
        ""DESCRIPTION"": ""idéophone exprimant l'émotion"",
        ""POS"": ""interj.""
    },
    {
        ""id"": ""3"",
        ""WORD"": ""kubá"",
        ""AFFIX"": ""-bâye"",
        ""NOUN_CLASS"": null,
        ""DESCRIPTION"": ""être"",
        ""POS"": ""v.""
    }
]}"
