BATCH_START_INDEX,BATCH_INDICES,FAILED,RAW_OUTPUT
154,[154],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""ubwâkwahá"",
      ""AFFIX"": ""-ahá"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""v"",
      ""POS"": ""v""
    }
  ]
}
```"
155,[155],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""alifu"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""titre de l'abécédaire employé dans les classes de simple lecture"",
      ""POS"": ""V.""
    }
  ]
}
```"
959,[959],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""umubāzano"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": ""3l4"",
      ""DESCRIPTION"": ""remède (raclures d'écorces)"",
      ""POS"": null
    }
  ]
}
```"
1164,[1164],1,
1388,[1388],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""ibomba"",
      ""AFFIX"": ""ama-"",
      ""NOUN_CLASS"": ""5l6"",
      ""DESCRIPTION"": ""robinet"",
      ""POS"": ""n""
    }
  ]
}
```"
1389,[1389],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kubomba"",
      ""AFFIX"": ""-mvye"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""être imbibé"",
      ""POS"": null
    }
  ]
}
```"
1390,[1390],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kubômbagura"",
      ""AFFIX"": ""-bômb-"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""faire du bruit en cognant deux objets."",
      ""POS"": null
    }
  ]
}
```"
1391,[1391],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kubômbaguranya"",
      ""AFFIX"": ""-nije"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""entrechoguer"",
      ""POS"": null
    },
    {
      ""WORD"": ""kubômboranya"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""être étroit"",
      ""POS"": null
    }
  ]
}
```"
1485,[1485],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""ikibúbābúba"",
      ""AFFIX"": ""ibi-"",
      ""NOUN_CLASS"": ""718"",
      ""DESCRIPTION"": ""champ d'éleusine après la récolte."",
      ""POS"": ""n""
    }
  ]
}
```"
1486,[1486],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""urubùbi"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": ""11"",
      ""DESCRIPTION"": ""cal, ampoule"",
      ""POS"": null
    }
  ]
}
```"
1487,[1487],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kubúbika"",
      ""AFFIX"": ""-tsee"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""apparaître sur la peau (éruption, boutons, tumeurs)"",
      ""POS"": null
    }
  ]
}
```"
1532,[1532],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kubûûmba"",
      ""AFFIX"": ""-mvye"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""façonner de Pargile, modeler."",
      ""POS"": ""Arrondir""
    }
  ]
}
```"
1533,[1533],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kwîbumba"",
      ""AFFIX"": ""-vye"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""être rond"",
      ""POS"": ""Sya""
    }
  ]
}
```"
1534,[1534],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""ibămba"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": ""5"",
      ""DESCRIPTION"": ""terre de poterie, terre glaise, argile."",
      ""POS"": ""n""
    }
  ]
}
```"
1535,[1535],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""nyamabûmba"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""mouche maçonne"",
      ""POS"": ""n""
    }
  ]
}
```"
1620,[1620],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kwibura"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""ne pas regarder u la dépense. Kuryá ukibura, manger à sasiété."",
      ""POS"": null
    }
  ]
}
```"
1621,[1621],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""urubúra"",
      ""AFFIX"": ""efr-búr-"",
      ""NOUN_CLASS"": ""11"",
      ""DESCRIPTION"": ""grêle."",
      ""POS"": null
    }
  ]
}
```"
1622,[1622],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""imbúra"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": ""910"",
      ""DESCRIPTION"": ""femme dont les enfants meurent."",
      ""POS"": null
    }
  ]
}
```"
1623,[1623],1,"```json
[
  {
    ""word"": ""n'akanyamukande"",
    ""translation"": ""to be understood""
  },
  {
    ""word"": ""kuburuka"",
    ""translation"": ""to be moved""
  },
  {
    ""word"": ""kuburuka"",
    ""translation"": ""to be moved""
  },
  {
    ""word"": ""kuburuka"",
    ""translation"": ""to be moved""
  },
  {
    ""word"": ""kuburuka"",
    ""translation"": ""to be moved""
  },
  {
    ""word"": ""kuburuka"",
    ""translation"": ""to be moved""
  },
  {
    ""word"": ""kuburuka"",
    ""translation"": ""to be moved""
  },
  {
    """
2184,[2184],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""gucúrira"",
      ""AFFIX"": ""-riye"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""bouleverser, raviver la peine, rappeler à qqn le bien ou la persopne qu'il a perdu, en se moquant de lui."",
      ""POS"": null
    }
  ]
}
```"
2185,[2185],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kwîcurīra"",
      ""AFFIX"": ""-riye"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""entretenir ses illusions, se faire illusion."",
      ""POS"": null
    }
  ]
}
```"
2186,[2186],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""icúriro"",
      ""AFFIX"": ""ama-"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""forge."",
      ""POS"": ""verb""
    }
  ]
}
```"
2187,[2187],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""incúrīro"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": ""9|10"",
      ""DESCRIPTION"": ""rappel malveillant dune personne ou d'un objet cher à qqn."",
      ""POS"": null
    }
  ]
}
```"
2284,[2284],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kudâgaguza"",
      ""AFFIX"": ""-je"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""se promener lentement (mère avec ses enfants)"",
      ""POS"": null
    }
  ]
}
```"
2285,[2285],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""indagala"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": ""9|10"",
      ""DESCRIPTION"": ""petit poisson de la famille des Clupėéides."",
      ""POS"": null
    }
  ]
}
```"
2286,[2286],0,"```json
{
  ""entries"": [
    {
      ""WORD"": ""kudágamba"",
      ""AFFIX"": ""-mvye"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""marcher maladroitement. Etre mal reçu. Dagamba, (pop.), viens! ou aussi va-t'enl, fiche le camp!"",
      ""POS"": null
    }
  ]
}
```"
2287,[2287],1,"```json
[
  {
    ""entry"": ""entry_1"",
    ""text"": ""entry_1""
  }
]
```"
