WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS
a,(inv.),,"interjection de négation, de dénégation: non.",
umwaba,imy-,3|4,surface de terre arable dans le marais.,
akāba,utw-,12|13,"lopin de terre arable. Drain dans les champs de marais. Akāba n'umugazo barekérwa mu bw'îmfûnzo, dans le terrain défriché, parmi les papyrus on dégage un drain appelé akāba.",
kwâba,-âvye,,"crier vers; avoir recours à, recourir à.",
kwabāba,-vye,null,tendre la main pour prendre en se dressant sur la poinie des pieds.,V
kwâbagira,-ye,null,beugler sans cesse.,V
umwâbagirano,imy-,3|4,"beuglement, appels du bétail au pâturage.",N
urwăbagiza,null,11,"philtre amouYEUX,",N
kwâbagiza,-je,,"Manæœuvrer pour, en vue de.",V
kwââbagizwa,-jwee,,se dévouer en faveur de qan.,V
kwabira,-riye,,prendre.,V
kwâbira,-yee,,"beugler, bêler.",V
kwiyabira,-ye,,"gémir, se plaindre de douleurs.",v
inyawïyabira,bānyáwīïyabira,9|2a,"femme qui a habitude de gémir, hypocondre.",n
bābīirahamwé,v. -mwé,,,v
kwabīrana,-nye,,"convoler, se marier.",v
kwâbirira,-ye,,"Désirer, aspirer à Yabirira itûnga, il convyoite les richesses.",v.
kwâbirirwa,-riwee,,"être recherché, jouir de Festime générale, Syn. gushimwà.",adj.
kwabīrwa,-riwe,,"être épouséz. Syn. kurongorwa. Umurcndo yanse kuja kwabīrwa, une jeune fille qui a refusé d'aller se marier. Yari yâbīiriwe numwămi wó mu rûzi, elle avait été épousée par le roi de la rivière. Mukâ-karyenda yarînda âpfa atâbîriwe, l'épouse de Karyenda doit mourir célibataire.",n.
icăbona,-bona,,,v.
inyăbu,,9|10,égratignure.,
kwabura,-ye,,,
kwabūra,-ye,,"capier discrètement en observant l'exercice d'un métier; écouter les paroles, Fexpression de qqn pour limiter, le ridiculiser. || Chercher un médium pour jeter un sort. Kwabūra umurima, faire en sorte qwun chanp ne réussisse pas, ensorceler un champ et le rendre stérile, Syn. gutôra imbúto.",
umwabūzo,imy-,34,balai.,
Imyabūzo,,,"objet, poudre, poison gue lon met dans oun sur la chose de celui à qui on veut jeter un sort; médium magique.",
