WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS
COLUMN-START-P1-C1,,,,
a,(inv.),,"interjection de négation, de dénégation: non.",ADJ
umwaba,imy-,3|4,surface de terre arable dans le marais.,NOUN
akāba,utw-,12|13,lopin de terre arable.,NOUN
kwâba,-âvye,,"crier vers; avoir recours à, recourir à.",
kwabāba,-vye,,tendre la main pour prendre en se dressant sur la poinie des pieds.,
kwâbagira,-ye,,beugler sans cesse.,
umwâbagirano,imy-,3|4,"beuglement, appels du bétail au pâturage.",
urwăbagiza,11,,"philtre amouYEUX,",
kwâbagiza,-je,,"tnportuner en le forçant à parler. || Manæœuvrer pour, en vue de.",
kwââbagizwa,-jwee,,"se dévouer en faveur de qan. Yabagizwa nûûkó wūmerérwa nêzá, il se dévoue pour que tu sois heureuse.",
kwabira,-riye,,"prendre. Kwabīira prendre femme, se marier. Syn. kurongora. Prov. 234, 1195, 1227, (applicatif : 2065).",
kwâbira,-yee,,"Chanter mal et très fort, hurler.",V
kwiyabira,-ye,,"gémir, se plaindre de douleurs.",V
inyawïyabira,bānyáwīïyabira,9|2a,"femme qui a habitude de gémir, hypocondre.",N
bābīirahamwé,v. -mwé,,,
kwabīrana,-nye,,"convoler, se marier.",
kwâbirira,-ye,,"Désirer, aspirer à Yabirira itûnga, il convyoite les richesses. || Préférer.",
kwâbirirwa,-riwee,,"être recherché, jouir de Festime générale, Syn. gushimwà.",
kwabīrwa,-riwe,,être épouséz.,v
icăbona,-bona,,,v
inyăbu,,9|10,égratignure.,n
kwabūra,-ye,,"capier discrètement en observant l'exercice d'un métier; écouter les paroles, Fexpression de qqn pour limiter, le ridiculiser.",v
kwabūra,,,Chercher un médium pour jeter un sort.,v
umwabūzo,imy-,3|4,"umyabūzo, objet, poudre, poison gue lon met dans oun sur la chose de celui à qui on veut jeter un sort; médium magique.",n
kwââcanīsha,-shije,,"séparer, || Diviser, dresser l'un conire l'autre.",v
icāduka,ivy-,7|8,"accident, événemeni imprévu.",n
kwâduka,-tse,7,"venir de, provenir de, gikôkó cādutsė he 7, d'où déboule cet animal? || Survenir à limproviste; être accidenté. || Se déclarer (maladie). Hari indwâra yādútse, i y a eu une épidémie.",v
kwâdukkkana,-nye,,survenir en même temps.,
umwâduruko,imy-,3|4,fente accidentelle.,
kwaga,-aze,,gratter légèrement.,
kwîyaga,-ze,,se gratter.,
kwâga,-ze,,"Fig. Kirâga câgutse, je ne sais que faire, je n'en sors pas (à cause de la haine quon me porte). Prov. 414, 493, 1161.",
umwăga,abăga,1(2),personne peu sociable.,adj
umwăga,imy-,34,"étroitesse, insociabilité.",n
urwăga,11,,"difficulté; insociabilité, hargne.",
kwâgaduka,-tse,,"être désert,",
kwâgāga,-ze,,"porter une grande guantité d'objeis. Syn. kwâgara. Kwâgāga ku-nda, être veniru, ventripaoteni.",
amăgāge,6,6|,"amygdales. Gukúbita ururimi mu magāage, claquer la langue en signe de mépris.",
