Glotto_name,Guthrie_code_Maho_2009,ISO,group_number_Maho_2009,group_name,comment_classification,coder,Gramfinder,NC_annotation,glotto_dict
Bima (oroko),A11,bdu,A10,Lundu-Balong,,,,,
Bima (oroko),A12,bdu,A10,Lundu-Balong,,,,,
Bafaw-Balong,A13,bwt,A10,Lundu-Balong,,,,,
Bonkeng,A14,bvg,A10,Lundu-Balong,,,,,
Bareko,A15A,mbo,A10,Lundu-Balong,,,,,
Bassossi,A15B,bsi,A10,Lundu-Balong,,,,,
Babong,A15C,bqz,A10,Lundu-Balong,,,,,
Akoose,A15,bss,A10,Lundu-Balong,,,,,
Nkongho,A151,nkc,A10,Lundu-Balong,,,,,
Wumboko-Bubia,A21,bqm,A20,Duala,,,,,
Mokpwe,A22,bri,A20,Duala,,,,,
Bubia,A221,bbx,A20,Duala,,,,,
Isu (Fako Division),A23,szv,A20,Duala,,,,,
Bakole,A231,kme,A20,Duala,,,,,
Bodiman,A24,dua,A20,Duala,,,,,
Oli-Bidiman,A25,-,A20,Duala,,,,,
Malimba,A27,mzd,A20,Duala,,,,,
Bube,A31,bvb,A30,Bubi-Benga,,harsha,,,"{90861: '342', 600186: 'NaN', 320956: '544', 89993: '761', 458650: '318-320'}"
Batanga,A32,bnm,A30,Bubi-Benga,,harsha,,,{701640: 'NaN'}
Asonga,A33a,yko,A30,Bubi-Benga,,harsha,,,NaN
Asonga (Ngumbi),A33b,nui,A30,Bubi-Benga,,harsha,,,"{90241: '541', 304678: '541'}"
Benga,A34,bng,A30,Bubi-Benga,,harsha,,,"{81296: 'NaN', 8514: '171'}"
Barombi,A41,bbi,A40,,,,,,
Bankon,A42,abb,A40,,,,,,
Bakem,A43a,bas,A40,,,,,,
Adie,A43b,bkh,A40,,,,,,
Eling,A44,tvu,A40,,,,,,
Nyokon,A45,nvo,A40,,,,,,
Nomaande,A46,lem,A40,,,,,,
Tuotomb,A461,ttf,A40,,,,,,
Nedek,A462,yat,A40,,,,,,
Hijuk,A501,hij,A50,Bafia,this one is A40-70 in Glottolog,harsha,,,NaN
Cama,A51,lfa,A50,Bafia,,harsha,,,NaN
Dimbong,A52,dii,A50,Bafia,,harsha,,,NaN
Bafia,A53,ksf,A50,Bafia,,harsha,,,NaN
Tibea,A54,ngy,A50,Bafia,,harsha,,,NaN
Tucangu,A601,bag,A60,,,,,,
Nuasue,A62A,yav,A60,,,,,,
Mmaala,A62B,mmu,A60,,,,,,
Elip,A62C,ekm,A60,,,,,,
Baca (Cameroon),A621,baf,A60,,,,,,
Northern Gunu,A622,yas,A60,,,,,,
Mbule,A623,mlb,A60,,,,,,
Leti (Cameroon),A63,leo,A60,,,,,,
Bati (Cameroon),A65,btc,A60,,,,,,
Eton-Mengisa,A71,eto/mct,A70,,,,,,
Badjia,A72(a),ewo,A70,,,,,,
Bebele,A73a,beb,A70,,,,,,
Bebil,A73b,bxp,A70,,,,,,
Bene,A74,bum,A70,,,,,,
